Customer_Type,Number_of_Houses,Avg_Household_Size,Avg_Age,Household_Profile,Married,Living_Together,Other_Relation,Singles,Household_Without_Children,Household_With_Children,High_Education_Level,Medium_Education_Level,Low_Education_Level,High_Status,Entrepreneur,Farmer,Middle_Management,Skilled_Labourers,Unskilled_Labourers,Social_Class_A,Social_Class_B1,Social_Class_B2,Social_Class_C,Social_Class_D,Rented_House,Home_Owner,Owns_One_Car,Owns_Two_Cars,Owns_No_Car,National_Health_Insurance,Private_Health_Insurance,Income_Less_Than_30K,Income_30K_to_45K,Income_45K_to_75K,Income_75K_to_122K,Income_Above_123K,Average_Income,Purchasing_Power_Class,Private_Third_Party_Insurance_Contribution,Business_Third_Party_Insurance_Contribution,Agricultural_Third_Party_Insurance_Contribution,Car_Policy_Contribution,Delivery_Van_Policy_Contribution,Motorcycle_Scooter_Policy_Contribution,Lorry_Policy_Contribution,Trailer_Policy_Contribution,Tractor_Policy_Contribution,Agricultural_Machine_Policy_Contribution,Moped_Policy_Contribution,Life_Insurance_Contribution,Private_Accident_Insurance_Contribution,Family_Accident_Insurance_Contribution,Disability_Insurance_Contribution,Fire_Insurance_Contribution,Surfboard_Insurance_Contribution,Boat_Insurance_Contribution,Bicycle_Insurance_Contribution,Property_Insurance_Contribution,Social_Security_Insurance_Contribution,Number_Private_Third_Party_Insurance,Number_Business_Third_Party_Insurance,Number_Agricultural_Third_Party_Insurance,Number_Car_Policies,Number_Delivery_Van_Policies,Number_Motorcycle_Scooter_Policies,Number_Lorry_Policies,Number_Trailer_Policies,Number_Tractor_Policies,Number_Agricultural_Machine_Policies,Number_Moped_Policies,Number_Life_Insurances,Number_Private_Accident_Insurances,Number_Family_Accident_Insurances,Number_Disability_Insurances,Number_Fire_Insurances,Number_Surfboard_Insurances,Number_Boat_Insurances,Number_Bicycle_Insurances,Number_Property_Insurances,Number_Social_Security_Insurances,Number_Mobile_Home_Policies,Mobile_Home_Policies
Rural & Low-income,1,3,30-40 years,Family with Grown-Ups,7,0,2,1,2,6,1,2,7,1,0,1,2,5,2,1,1,2,6,1,1,8,8,0,1,8,1,0,4,5,0,0,4,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,5.681059975,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,No Policy
Rural & Low-income,1,2,30-40 years,Family with Grown-Ups,6,2,2,0,4,5,0,5,4,0,0,0,5,0,4,0,2,3,5,0,2,7,7,1,2,6,3,2,0,5,2,0,5,4,50-99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.022271206,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,No Policy
Rural & Low-income,1,2,30-40 years,Family with Grown-Ups,3,2,4,4,4,2,0,5,4,0,0,0,7,0,2,0,5,0,4,0,7,2,7,0,2,9,0,4,5,0,0,0,3,4,50-99,0,0,6,0,0,0,0,0,0,0,0,0,0,0,2.481774698,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,No Policy
Middle-Class Families,1,3,40-50 years,Average Family,5,2,2,2,3,4,3,4,2,4,0,0,3,1,2,3,2,1,4,0,5,4,9,0,0,7,2,1,5,3,0,0,4,4,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,2.426542372,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,No Policy
Rural & Low-income,1,4,30-40 years,Farmers,7,1,2,2,4,4,5,4,0,0,5,4,0,0,0,9,0,0,0,0,4,5,6,2,1,5,4,0,0,9,0,0,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.110015432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,No Policy
Young & Low-income,1,2,20-30 years,Living Well,0,6,3,3,5,2,0,5,4,2,0,0,4,2,2,2,2,2,4,2,9,0,5,3,3,9,0,5,2,3,0,0,3,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Policy
Rural & Low-income,2,3,30-40 years,Conservative Families,7,2,0,0,3,6,0,4,5,0,0,0,4,1,5,0,1,4,5,0,6,3,8,0,1,9,0,4,3,3,0,0,3,5,,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Policy
Rural & Low-income,1,2,40-50 years,Family with Grown-Ups,7,2,0,0,5,4,0,3,6,2,0,0,2,5,2,2,1,2,5,2,0,9,4,4,2,6,3,2,5,3,0,0,3,3,0,0,0,0,0,0,0,0,0,0,3.250502155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,No Policy
Rural & Low-income,1,2,50-60 years,Family with Grown-Ups,6,0,3,3,3,3,0,1,8,1,1,0,1,8,1,1,1,0,8,1,9,0,5,2,3,7,2,7,2,1,0,0,2,3,,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Policy
Middle-Class Families,2,3,40-50 years,Average Family,7,0,2,2,2,6,0,4,5,2,0,0,3,3,3,1,2,1,4,2,0,9,6,1,2,6,3,2,3,3,1,0,4,7,50-99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.565633534,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,No Policy
Middle-Class Families,1,4,40-50 years,Average Family,7,1,2,0,3,6,4,3,3,0,0,0,9,0,0,3,0,6,0,0,0,9,6,2,1,5,4,0,3,2,2,2,8,7,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Policy
Middle-Class Families,1,3,40-50 years,Average Family,7,1,2,2,3,5,1,7,1,4,0,0,5,1,1,2,3,4,1,0,6,3,7,1,2,4,5,3,4,3,1,0,3,4,50-99,0,0,5,0,0,0,0,0,0,0,0,0,0,0,2.446735911,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,No Policy
Rural & Low-income,1,2,40-50 years,Family with Grown-Ups,6,2,3,3,4,3,1,4,5,1,1,0,3,2,4,1,2,2,5,1,5,4,6,1,3,7,2,3,4,3,1,0,3,3,,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Policy
Rural & Low-income,1,3,40-50 years,Farmers,7,1,1,1,4,5,2,4,4,3,0,1,2,2,2,4,2,1,4,0,5,4,7,2,0,8,1,3,2,4,1,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Policy
Young & Low-income,1,1,30-40 years,Living Well,1,2,6,5,3,1,2,6,2,1,0,0,4,3,2,1,3,2,4,0,9,0,5,1,3,5,4,4,3,3,0,0,3,3,50-99,0,0,5,0,0,0,0,0,0,0,0,0,0,0,2.911746508,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,No Policy
Rural & Low-income,1,2,40-50 years,Family with Grown-Ups,7,2,0,0,5,4,0,3,6,2,0,0,2,5,2,2,1,2,5,2,0,9,4,4,2,6,3,2,5,3,0,0,3,3,50-99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.395116132,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,No Policy
